solution,cluster,cluster_rep,testcases_time,klee_time,cbmc_time
10.c,cluster1,1.c,0,0,6.4142660000000005
11.c,cluster1,1.c,0,0,10.014664
12.c,cluster1,10.c,0,0,8.098419
13.c,cluster1,1.c,0,0,10.01165
13.c,cluster2,11.c,0,0,10.047323
14.c,cluster1,1.c,0,0,10.015029
14.c,cluster3,13.c,0,0,10.074545
14.c,cluster2,11.c,0,0,10.075638
15.c,cluster1,12.c,0,0,10.074067
15.c,cluster4,14.c,0,0,10.07762
15.c,cluster3,13.c,0,0,10.070064
15.c,cluster2,11.c,0,0,10.070747
16.c,cluster1,1.c,0,0,10.066027
16.c,cluster4,14.c,0,0,10.074517
16.c,cluster3,13.c,0,0,10.067842
16.c,cluster2,11.c,0,0,10.072042
16.c,cluster5,15.c,0,0,10.071981
17.c,cluster1,12.c,0,0,10.094057000000001
17.c,cluster4,14.c,0,0,10.074978
17.c,cluster3,13.c,0,0,10.076675999999999
17.c,cluster6,16.c,0,0,10.082096
17.c,cluster2,11.c,0,0,10.072345
17.c,cluster5,15.c,0,0,10.1056
18.c,cluster1,1.c,0,0,10.086077000000001
18.c,cluster7,17.c,0,0,10.114444
18.c,cluster4,14.c,0,0,10.082663
18.c,cluster3,13.c,0,0,10.086871
18.c,cluster6,16.c,0,0,10.087942
18.c,cluster2,11.c,0,0,10.089669
18.c,cluster5,15.c,0,0,10.087473
19.c,cluster1,1.c,0,0,10.100032
19.c,cluster7,17.c,0,0,10.110824000000001
19.c,cluster4,14.c,0,0,10.114424
19.c,cluster3,13.c,0,0,10.115931
19.c,cluster8,18.c,0,0,10.079875
19.c,cluster6,16.c,0,0,10.103925
19.c,cluster2,11.c,0,0,10.080298
19.c,cluster5,15.c,0,0,10.107944
2.c,cluster1,12.c,0,0,10.077632
2.c,cluster9,19.c,0,0,10.086221
2.c,cluster7,17.c,0,0,10.103553
2.c,cluster4,14.c,0,0,10.125092
2.c,cluster3,13.c,0,0,10.109747
2.c,cluster8,18.c,0,0,10.099674
2.c,cluster6,16.c,0,0,10.087993
2.c,cluster2,11.c,0,0,10.130349
2.c,cluster5,15.c,0,0,10.111998
20.c,cluster1,1.c,0,0,10.122021
20.c,cluster9,19.c,0,0,2.212592
21.c,cluster1,10.c,0,0,10.110477000000001
21.c,cluster9,19.c,0,0,10.092183
21.c,cluster7,17.c,0,0,10.152911999999999
21.c,cluster4,14.c,0,0,10.102896
21.c,cluster3,13.c,0,0,10.107397
21.c,cluster10,2.c,0,0,10.096617
21.c,cluster8,18.c,0,0,10.124647999999999
21.c,cluster6,16.c,0,0,10.115981
21.c,cluster2,11.c,0,0,10.115829
21.c,cluster5,15.c,0,0,10.103682
22.c,cluster1,10.c,0,0,10.127472000000001
22.c,cluster9,19.c,0,0,10.135521
22.c,cluster7,17.c,0,0,10.115604
22.c,cluster4,14.c,0,0,10.131563
22.c,cluster3,13.c,0,0,10.100016
22.c,cluster10,2.c,0,0,10.184531
22.c,cluster8,18.c,0,0,10.111975
22.c,cluster6,16.c,0,0,10.123647
22.c,cluster2,11.c,0,0,10.115993
22.c,cluster11,21.c,0,0,10.125754
22.c,cluster5,15.c,0,0,10.120013
23.c,cluster1,12.c,0,0,10.122646
23.c,cluster9,20.c,0,0,10.130419999999999
23.c,cluster7,17.c,0,0,10.139552
23.c,cluster12,22.c,0,0,10.132762
23.c,cluster4,14.c,0,0,10.13037
23.c,cluster3,13.c,0,0,10.136202
23.c,cluster10,2.c,0,0,10.153001
23.c,cluster8,18.c,0,0,10.146606
23.c,cluster6,16.c,0,0,10.128092
23.c,cluster2,11.c,0,0,10.135580000000001
23.c,cluster11,21.c,0,0,10.119987
23.c,cluster5,15.c,0,0,10.115888
24.c,cluster1,12.c,0,0,10.132855
24.c,cluster9,20.c,0,0,2.367686
24.c,cluster7,17.c,0,0,10.111676
24.c,cluster12,22.c,0,0,10.115978
24.c,cluster4,14.c,0,0,10.10955
24.c,cluster3,13.c,0,0,10.125902
24.c,cluster10,2.c,0,0,10.128348
24.c,cluster13,23.c,0,0,10.139595
24.c,cluster8,18.c,0,0,10.103978
24.c,cluster6,16.c,0,0,10.1285
24.c,cluster2,11.c,0,0,10.110495
24.c,cluster11,21.c,0,0,10.104157
24.c,cluster5,15.c,0,0,10.095517999999998
25.c,cluster14,24.c,0,0,10.133984
25.c,cluster1,12.c,0,0,10.140751
25.c,cluster9,20.c,0,0,10.109905
25.c,cluster7,17.c,0,0,10.091857
25.c,cluster12,22.c,0,0,10.085072
25.c,cluster4,14.c,0,0,10.108013
25.c,cluster3,13.c,0,0,10.125475999999999
25.c,cluster10,2.c,0,0,10.148642
25.c,cluster13,23.c,0,0,10.095533
25.c,cluster8,18.c,0,0,10.104382
25.c,cluster6,16.c,0,0,10.103997
25.c,cluster2,11.c,0,0,10.11989
25.c,cluster11,21.c,0,0,10.087278999999999
25.c,cluster5,15.c,0,0,10.099528
26.c,cluster14,24.c,0,0,10.115396
26.c,cluster1,12.c,0,0,10.127696
26.c,cluster9,19.c,0,0,10.163259
26.c,cluster7,17.c,0,0,10.125484
26.c,cluster12,22.c,0,0,10.095918
26.c,cluster15,25.c,0,0,10.118822
26.c,cluster4,14.c,0,0,10.135392
26.c,cluster3,13.c,0,0,10.109446
26.c,cluster10,2.c,0,0,10.168391
26.c,cluster13,23.c,0,0,10.099941
26.c,cluster8,18.c,0,0,10.127972999999999
26.c,cluster6,16.c,0,0,10.124121
26.c,cluster2,11.c,0,0,10.129487
26.c,cluster11,21.c,0,0,10.170673
26.c,cluster5,15.c,0,0,10.112153999999999
27.c,cluster14,24.c,0,0,10.107773
27.c,cluster1,1.c,0,0,10.139672000000001
27.c,cluster9,20.c,0,0,10.13313
27.c,cluster7,17.c,0,0,10.148128999999999
27.c,cluster12,22.c,0,0,10.164122
27.c,cluster15,25.c,0,0,10.139968
27.c,cluster4,14.c,0,0,10.125468
27.c,cluster16,26.c,0,0,10.151986
27.c,cluster3,13.c,0,0,10.139275
27.c,cluster10,2.c,0,0,10.152273
27.c,cluster13,23.c,0,0,10.140187
27.c,cluster8,18.c,0,0,10.132054
27.c,cluster6,16.c,0,0,10.317553
27.c,cluster2,11.c,0,0,10.167571
