solution,cluster,cluster_rep,testcases_time,klee_time,cbmc_time
10.c,cluster1,1.c,0.087979,0,6.996047
11.c,cluster1,1.c,0.202372,0,51.725302
12.c,cluster1,10.c,0.073435,0,8.403058
13.c,cluster1,10.c,0.077627,0,195.879132
14.c,cluster1,11.c,0.081318,0,55.463276
15.c,cluster1,1.c,0.073214,0,5.643475
16.c,cluster1,1.c,0.066333,0,5.251829
17.c,cluster1,1.c,0.06759,0,49.929235
18.c,cluster1,12.c,0.075396,0,19.858944
19.c,cluster1,14.c,0.067387,0,5.784962999999999
2.c,cluster1,12.c,0.068516,0,5.893121
20.c,cluster1,13.c,0.06740499999999999,0,46.011943
20.c,cluster2,19.c,0.067707,0,0.185034
21.c,cluster1,18.c,0.080279,0,17.300738
21.c,cluster2,19.c,0.068245,0,3.120755
22.c,cluster1,11.c,0.06976399999999999,0,38.063951
22.c,cluster3,21.c,0.067883,0,8.325044
22.c,cluster2,19.c,0.067416,0,3.185689
23.c,cluster1,10.c,0.07314,0,7.432702000000001
24.c,cluster1,11.c,0.067715,0,7.6592850000000015
24.c,cluster4,22.c,0.06719299999999999,0,3.284871
24.c,cluster3,21.c,0.067332,0,2.3954470000000003
24.c,cluster2,20.c,0.067348,0,0.139652
25.c,cluster1,10.c,0.109226,0,19.604388
26.c,cluster1,2.c,0.147845,0,54.254761
27.c,cluster1,12.c,0.06737,0,66.385363
28.c,cluster1,12.c,0.06830900000000001,0,6.268914
28.c,cluster4,22.c,0.06746,0,8.885691
28.c,cluster3,21.c,0.068448,0,7.523238
28.c,cluster2,20.c,0.066969,0,5.053412000000002
28.c,cluster5,24.c,0.067875,0,5.020613
29.c,cluster1,11.c,0.067254,0,48.143159000000004
3.c,cluster1,1.c,0.069006,0,6.811576
30.c,cluster1,26.c,0.066442,0,9.857054
31.c,cluster1,13.c,0.067624,0,19.241708
31.c,cluster4,22.c,0.066958,0,8.899754
31.c,cluster3,21.c,0.066611,0,5.729006
31.c,cluster6,28.c,0.06679199999999999,0,6.62392
31.c,cluster2,19.c,0.067742,0,0.658064
31.c,cluster5,24.c,0.069651,0,0.582937
32.c,cluster1,30.c,0.07018300000000001,0,33.105924
33.c,cluster1,3.c,0.067344,0,3.7113169999999998
34.c,cluster1,29.c,0.066808,0,3.422922
35.c,cluster1,34.c,0.068148,0,3.4112989999999996
36.c,cluster1,10.c,0.068018,0,4.566628
37.c,cluster1,27.c,0.067589,0,12.367683
38.c,cluster1,35.c,0.067509,0,2.619048
