solution,cluster,cluster_rep,testcases_time,klee_time,cbmc_time
10.c,cluster1,1.c,19.868677,0,0
11.c,cluster1,1.c,19.077917000000006,0,0
12.c,cluster1,10.c,19.167835,0,0
13.c,cluster1,10.c,18.627976999999998,0,0
14.c,cluster1,11.c,18.727245,0,0
15.c,cluster1,1.c,18.869028,0,0
16.c,cluster1,1.c,18.682237,0,0
17.c,cluster1,1.c,18.662751,0,0
18.c,cluster1,12.c,19.741223,0,0
19.c,cluster1,14.c,0.083838,0,0
2.c,cluster1,12.c,19.673649,0,0
20.c,cluster1,13.c,0.085247,0,0
20.c,cluster2,19.c,18.874866,0,0
21.c,cluster1,18.c,0.088766,0,0
21.c,cluster2,19.c,0.08165399999999999,0,0
22.c,cluster1,11.c,0.07887899999999999,0,0
22.c,cluster3,21.c,0.081996,0,0
22.c,cluster2,19.c,0.077795,0,0
23.c,cluster1,10.c,19.376422,0,0
24.c,cluster1,11.c,0.084218,0,0
24.c,cluster4,22.c,0.080593,0,0
24.c,cluster3,21.c,0.08415299999999999,0,0
24.c,cluster2,20.c,0.085187,0,0
25.c,cluster1,10.c,19.243835,0,0
26.c,cluster1,2.c,18.871953,0,0
27.c,cluster1,12.c,18.547794,0,0
28.c,cluster1,12.c,18.324962,0,0
29.c,cluster1,18.c,18.414419,0,0
3.c,cluster1,11.c,17.151899,0,0
30.c,cluster1,15.c,17.199807999999994,0,0
31.c,cluster1,13.c,17.223614,0,0
32.c,cluster1,3.c,17.279560999999998,0,0
33.c,cluster1,27.c,17.283909,0,0
34.c,cluster1,1.c,17.176002,0,0
35.c,cluster1,2.c,17.281360999999997,0,0
36.c,cluster1,32.c,17.351616,0,0
37.c,cluster1,29.c,17.411351999999994,0,0
38.c,cluster1,2.c,0.146993,0,0
38.c,cluster4,22.c,0.077139,0,0
38.c,cluster3,21.c,0.078168,0,0
38.c,cluster2,20.c,17.47032,0,0
39.c,cluster1,28.c,17.287858,0,0
4.c,cluster1,11.c,17.38449,0,0
40.c,cluster1,12.c,0.08307300000000001,0,0
40.c,cluster4,22.c,0.077521,0,0
40.c,cluster3,21.c,0.078931,0,0
40.c,cluster2,38.c,18.648506,0,0
41.c,cluster1,32.c,0.087416,0,0
41.c,cluster4,22.c,0.086881,0,0
41.c,cluster3,21.c,0.087061,0,0
41.c,cluster2,40.c,0.082473,0,0
41.c,cluster5,24.c,0.092571,0,0
42.c,cluster1,30.c,0.095171,0,0
42.c,cluster4,22.c,0.091984,0,0
42.c,cluster3,21.c,0.090813,0,0
42.c,cluster6,41.c,0.091408,0,0
42.c,cluster2,20.c,19.500292,0,0
43.c,cluster1,17.c,0.085745,0,0
43.c,cluster4,22.c,0.083992,0,0
43.c,cluster3,21.c,0.08665700000000001,0,0
43.c,cluster6,41.c,0.081902,0,0
43.c,cluster2,19.c,18.009463,0,0
44.c,cluster1,3.c,17.975025,0,0
45.c,cluster1,1.c,0.078262,0,0
45.c,cluster4,22.c,0.079735,0,0
45.c,cluster3,21.c,0.082039,0,0
45.c,cluster6,41.c,0.08111900000000001,0,0
45.c,cluster2,40.c,0.102399,0,0
45.c,cluster5,24.c,0.10066,0,0
46.c,cluster1,14.c,0.08454500000000001,0,0
46.c,cluster7,45.c,0.08162799999999999,0,0
46.c,cluster4,22.c,0.08466900000000001,0,0
46.c,cluster3,21.c,0.097009,0,0
46.c,cluster6,41.c,0.093071,0,0
46.c,cluster2,20.c,0.095689,0,0
46.c,cluster5,24.c,0.096302,0,0
47.c,cluster1,37.c,0.090201,0,0
47.c,cluster7,45.c,0.09225499999999999,0,0
47.c,cluster4,22.c,0.08542899999999999,0,0
47.c,cluster3,21.c,18.346656,0,0
48.c,cluster1,12.c,0.144308,0,0
48.c,cluster7,45.c,0.08702,0,0
48.c,cluster4,22.c,0.080539,0,0
48.c,cluster3,21.c,0.076322,0,0
48.c,cluster8,46.c,0.083192,0,0
48.c,cluster6,41.c,0.08606,0,0
48.c,cluster2,40.c,0.08644199999999999,0,0
48.c,cluster5,24.c,0.083873,0,0
49.c,cluster1,14.c,18.083336,0,0
5.c,cluster1,25.c,17.59524,0,0
50.c,cluster1,25.c,17.894519,0,0
6.c,cluster1,16.c,0.080592,0,0
6.c,cluster9,48.c,0.080742,0,0
6.c,cluster7,45.c,0.080425,0,0
6.c,cluster4,22.c,0.07732,0,0
6.c,cluster3,47.c,0.08087000000000001,0,0
6.c,cluster8,46.c,0.088021,0,0
6.c,cluster6,41.c,0.076172,0,0
6.c,cluster2,20.c,0.07860299999999999,0,0
6.c,cluster5,24.c,0.08026599999999999,0,0
7.c,cluster1,3.c,19.312213,0,0
8.c,cluster1,15.c,17.765216,0,0
9.c,cluster1,23.c,0.082152,0,0
9.c,cluster9,48.c,0.074787,0,0
9.c,cluster7,45.c,0.081683,0,0
9.c,cluster4,22.c,0.07788400000000001,0,0
9.c,cluster3,47.c,0.0764,0,0
9.c,cluster10,6.c,0.084216,0,0
9.c,cluster8,46.c,0.084098,0,0
9.c,cluster6,41.c,0.075056,0,0
9.c,cluster2,20.c,17.568974,0,0
