solution,cluster,cluster_rep,testcases_time,klee_time,cbmc_time
10.c,cluster1,1.c,0.000791,1.858005,0.0
11.c,cluster1,1.c,0.000732,11.105972,0.0
12.c,cluster1,10.c,0.0007,1.870089,0.0
13.c,cluster1,1.c,0.000721,1.298712,0.0
14.c,cluster1,13.c,0.0008439999999999999,2.398884,0.0
15.c,cluster1,1.c,0.000676,1.118109,0.0
16.c,cluster1,12.c,0.000889,1.44121,0.0
17.c,cluster1,14.c,0.0007740000000000001,11.164474,0.0
17.c,cluster2,11.c,0.000412,3.651494,0.0
18.c,cluster1,15.c,0.000784,0.48239,0.0
18.c,cluster2,17.c,0.104306,0.546293,0.0
19.c,cluster1,14.c,0.136831,1.440117,0.0
19.c,cluster3,18.c,0.114132,0.0,0.0
19.c,cluster2,11.c,0.126577,0.0,0.0
2.c,cluster1,1.c,0.105255,1.430002,0.0
20.c,cluster1,16.c,0.131205,0.0,0.0
20.c,cluster4,19.c,0.10599,0.555516,0.0
21.c,cluster1,16.c,0.091176,0.0,0.0
21.c,cluster4,20.c,0.095456,0.0,0.0
21.c,cluster3,18.c,0.116371,0.0,0.0
21.c,cluster2,17.c,0.115969,0.0,0.0
22.c,cluster1,13.c,0.09967000000000001,2.636863,0.0
22.c,cluster4,19.c,0.091874,0.0,0.0
22.c,cluster3,18.c,0.09938,0.0,0.0
22.c,cluster2,17.c,0.093638,0.0,0.0
22.c,cluster5,21.c,0.09802999999999999,0.0,0.0
23.c,cluster1,13.c,0.10622,1.889701,0.0
24.c,cluster1,2.c,0.089648,1.279968,0.0
24.c,cluster4,19.c,0.09098,0.0,0.0
24.c,cluster3,18.c,0.11306500000000001,0.0,0.0
24.c,cluster6,22.c,0.103757,0.0,0.0
24.c,cluster2,11.c,0.091058,0.0,0.0
24.c,cluster5,21.c,0.087351,0.0,0.0
25.c,cluster1,1.c,0.11091199999999997,11.35112,0.0
25.c,cluster7,24.c,0.100119,0.0,0.0
25.c,cluster4,20.c,0.10058099999999999,0.0,0.0
25.c,cluster3,18.c,0.111548,1.745723,0.0
25.c,cluster6,22.c,0.11617000000000001,0.0,0.0
25.c,cluster2,17.c,0.110907,10.553779,0.0
25.c,cluster5,21.c,0.11646,0.0,0.0
26.c,cluster1,15.c,0.091062,10.703248,0.0
26.c,cluster7,24.c,0.084776,0.0,0.0
26.c,cluster4,20.c,0.08623099999999999,0.0,0.0
26.c,cluster3,18.c,0.09136799999999999,5.111269999999998,0.0
26.c,cluster8,25.c,0.096558,10.536028,0.0
26.c,cluster6,22.c,0.08645599999999999,0.0,0.0
26.c,cluster2,11.c,0.086523,3.222099,0.0
27.c,cluster1,16.c,0.087161,11.024774,0.0
27.c,cluster7,24.c,0.086744,0.0,0.0
27.c,cluster4,19.c,0.08444199999999999,0.0,0.0
27.c,cluster3,18.c,0.094856,4.0865540000000005,0.0
27.c,cluster8,25.c,0.097945,11.1483,0.0
27.c,cluster6,22.c,0.08667000000000001,0.0,0.0
27.c,cluster2,26.c,0.08632999999999999,7.932905,0.0
28.c,cluster1,10.c,0.140227,2.652621,0.0
28.c,cluster7,24.c,0.271554,0.0,0.0
28.c,cluster4,19.c,0.085281,0.0,0.0
28.c,cluster3,18.c,0.093596,1.770505,0.0
28.c,cluster8,25.c,0.111025,7.380997,0.0
28.c,cluster6,22.c,0.08429199999999999,0.0,0.0
28.c,cluster2,26.c,0.087238,10.713832,0.0
28.c,cluster5,21.c,0.083784,0.0,0.0
29.c,cluster1,2.c,0.086913,1.187768,0.0
3.c,cluster1,10.c,0.110168,1.5675729999999999,0.0
30.c,cluster1,3.c,0.100529,13.799236,0.0
30.c,cluster9,28.c,0.08541,11.418659,0.0
30.c,cluster7,24.c,0.084362,0.0,0.0
30.c,cluster4,20.c,0.084226,0.0,0.0
30.c,cluster3,18.c,0.094308,0.923114,0.0
30.c,cluster8,25.c,0.15465,23.346602999999998,0.0
30.c,cluster6,22.c,0.084712,0.0,0.0
30.c,cluster2,27.c,0.085757,10.667843,0.0
30.c,cluster5,21.c,0.086975,0.0,0.0
31.c,cluster1,29.c,0.094064,4.3923190000000005,0.0
32.c,cluster1,2.c,0.091919,10.818435,0.0
32.c,cluster9,28.c,0.08647,11.01398,0.0
32.c,cluster7,24.c,0.091159,0.0,0.0
32.c,cluster4,19.c,0.097263,0.0,0.0
32.c,cluster3,18.c,0.171336,10.893161,0.0
32.c,cluster10,30.c,0.086629,12.066666,0.0
32.c,cluster8,25.c,0.111002,11.673626,0.0
32.c,cluster6,22.c,0.084263,0.0,0.0
32.c,cluster2,17.c,0.08786000000000001,11.133826,0.0
32.c,cluster5,21.c,0.086281,0.0,0.0
33.c,cluster1,14.c,0.089839,1.121815,0.0
34.c,cluster1,3.c,0.088251,1.74635,0.0
35.c,cluster1,14.c,0.088263,1.889629,0.0
36.c,cluster1,1.c,0.08719299999999999,1.845725,0.0
37.c,cluster1,16.c,0.089322,10.518463,0.0
37.c,cluster9,28.c,0.088018,10.497034,0.0
37.c,cluster7,24.c,0.092958,0.0,0.0
37.c,cluster4,20.c,0.09477000000000001,0.0,0.0
37.c,cluster3,18.c,0.100971,5.2984860000000005,0.0
37.c,cluster10,30.c,0.091001,10.387935,0.0
37.c,cluster8,25.c,0.098955,10.982289,0.0
37.c,cluster6,22.c,0.086719,0.0,0.0
37.c,cluster2,27.c,0.087585,7.574025999999999,0.0
38.c,cluster1,1.c,0.08542000000000001,0.0,0.0
38.c,cluster9,28.c,0.085171,0.0,0.0
38.c,cluster7,24.c,0.086612,0.0,0.0
38.c,cluster4,20.c,0.088906,0.481166,0.0
39.c,cluster1,14.c,0.133535,1.045542,0.0
39.c,cluster9,28.c,0.097642,2.216207,0.0
39.c,cluster7,24.c,0.087703,0.0,0.0
39.c,cluster4,38.c,0.0864,0.0,0.0
39.c,cluster3,18.c,0.09702999999999999,1.9004599999999998,0.0
39.c,cluster10,30.c,0.089305,9.719884,0.0
39.c,cluster8,25.c,0.102147,9.426963,0.0
39.c,cluster6,22.c,0.086617,0.0,0.0
39.c,cluster2,17.c,0.089763,10.135531,0.0
39.c,cluster11,32.c,0.091296,11.390839,0.0
39.c,cluster5,21.c,0.084652,0.0,0.0
4.c,cluster1,1.c,0.08971,10.596041,0.0
4.c,cluster9,28.c,0.088733,10.620652999999999,0.0
4.c,cluster7,24.c,0.150301,0.0,0.0
4.c,cluster12,39.c,0.09174199999999999,10.49662,0.0
4.c,cluster4,20.c,0.086141,0.0,0.0
4.c,cluster3,18.c,0.097413,5.3627150000000015,0.0
4.c,cluster10,30.c,0.089364,11.111768,0.0
4.c,cluster8,25.c,0.101274,11.131941000000001,0.0
4.c,cluster6,22.c,0.087392,0.0,0.0
4.c,cluster2,26.c,0.088755,6.44484,0.0
40.c,cluster1,2.c,0.087744,0.0,0.0
40.c,cluster9,28.c,0.08534,0.0,0.0
40.c,cluster7,24.c,0.086059,0.0,0.0
40.c,cluster12,39.c,0.08734199999999999,0.0,0.0
40.c,cluster4,38.c,0.090139,10.775742,0.0
40.c,cluster3,18.c,0.095092,0.0,0.0
40.c,cluster10,30.c,0.085194,0.0,0.0
40.c,cluster8,25.c,0.097062,0.0,0.0
40.c,cluster6,22.c,0.085615,0.0,0.0
40.c,cluster2,27.c,0.08653999999999999,0.0,0.0
40.c,cluster11,32.c,0.086744,0.0,0.0
40.c,cluster5,21.c,0.085686,0.0,0.0
41.c,cluster1,35.c,0.086489,0.0,0.0
41.c,cluster9,28.c,0.085729,0.0,0.0
41.c,cluster7,24.c,0.087056,0.0,0.0
41.c,cluster12,39.c,0.085651,0.0,0.0
41.c,cluster4,19.c,0.084928,0.0,0.0
41.c,cluster3,18.c,0.096359,0.0,0.0
41.c,cluster10,30.c,0.085142,0.0,0.0
41.c,cluster13,40.c,0.085603,0.0,0.0
41.c,cluster8,25.c,0.097263,0.0,0.0
41.c,cluster6,22.c,0.08513,0.0,0.0
41.c,cluster2,4.c,0.08479400000000001,0.0,0.0
41.c,cluster11,32.c,0.087935,0.0,0.0
41.c,cluster5,21.c,0.085781,0.0,0.0
42.c,cluster14,41.c,0.086313,0.0,0.0
42.c,cluster1,2.c,0.08794400000000001,0.0,0.0
42.c,cluster9,28.c,0.08749900000000001,0.0,0.0
42.c,cluster7,24.c,0.086957,0.0,0.0
42.c,cluster12,39.c,0.195129,0.0,0.0
42.c,cluster4,38.c,0.089353,0.437119,0.0
43.c,cluster14,41.c,0.097967,0.0,0.0
43.c,cluster1,12.c,0.096254,0.0,0.0
