solution,cluster,cluster_rep,testcases_time,klee_time,cbmc_time
18.c,cluster1,12.c,0.098594,0.5240100000000001,0
19.c,cluster1,1.c,0.098987,1.278198,0
19.c,cluster2,18.c,0.12021400000000006,0.0,0
20.c,cluster1,14.c,0.12554500000000002,0.0,0
21.c,cluster1,2.c,0.08691,0.0,0
21.c,cluster3,19.c,0.111567,0.0,0
21.c,cluster2,18.c,0.117355,0.0,0
22.c,cluster1,17.c,0.102396,11.32214,0
22.c,cluster4,21.c,0.08709700000000001,0.0,0
22.c,cluster3,20.c,0.085975,0.0,0
22.c,cluster2,18.c,0.095286,0.0,0
24.c,cluster1,17.c,0.092337,4.092408,0
24.c,cluster4,21.c,0.085662,0.0,0
24.c,cluster3,19.c,0.094194,0.0,0
24.c,cluster2,18.c,0.095759,0.0,0
24.c,cluster5,22.c,0.085281,0.0,0
28.c,cluster1,11.c,0.087176,10.360508,0
28.c,cluster4,21.c,0.086858,0.0,0
28.c,cluster3,19.c,0.097131,0.0,0
28.c,cluster6,24.c,0.098045,0.0,0
28.c,cluster2,18.c,0.146038,1.448512,0
28.c,cluster5,22.c,0.149377,0.0,0
38.c,cluster1,34.c,0.086158,0.0,0
38.c,cluster7,28.c,0.08708400000000001,0.0,0
38.c,cluster4,21.c,0.086125,0.0,0
39.c,cluster1,33.c,0.117034,1.5586719999999998,0
39.c,cluster7,28.c,0.089045,1.900146,0
39.c,cluster4,21.c,0.091891,0.0,0
39.c,cluster3,38.c,0.10357999999999999,0.0,0
39.c,cluster6,24.c,0.105903,0.0,0
39.c,cluster2,18.c,0.095718,1.935876,0
39.c,cluster5,22.c,0.089028,0.0,0
40.c,cluster1,27.c,0.087543,0.0,0
40.c,cluster7,28.c,0.08639,0.0,0
40.c,cluster4,21.c,0.085761,0.0,0
41.c,cluster1,10.c,0.08617000000000001,0.0,0
41.c,cluster7,28.c,0.086404,0.0,0
41.c,cluster4,21.c,0.087089,0.0,0
41.c,cluster3,40.c,0.085342,0.0,0
41.c,cluster8,39.c,0.087063,0.0,0
41.c,cluster6,24.c,0.086469,0.0,0
41.c,cluster2,18.c,0.124624,0.0,0
41.c,cluster5,22.c,0.085483,0.0,0
42.c,cluster1,15.c,0.087802,0.0,0
42.c,cluster9,41.c,0.08639,0.0,0
42.c,cluster7,28.c,0.08672200000000001,0.0,0
42.c,cluster4,21.c,0.08479400000000001,0.0,0
43.c,cluster1,35.c,0.09041,0.0,0
43.c,cluster9,41.c,0.118252,0.0,0
43.c,cluster7,28.c,0.104437,0.0,0
43.c,cluster4,21.c,0.105572,0.0,0
44.c,cluster1,36.c,0.093874,1.6203299999999998,0
44.c,cluster9,41.c,0.086255,0.0,0
44.c,cluster7,28.c,0.091036,1.7583540000000002,0
44.c,cluster4,21.c,0.10949500000000001,0.0,0
44.c,cluster3,40.c,0.090152,0.0,0
45.c,cluster1,11.c,0.103076,0.0,0
45.c,cluster9,41.c,0.08688799999999999,0.0,0
45.c,cluster7,28.c,0.096614,0.0,0
45.c,cluster4,21.c,0.096707,0.0,0
45.c,cluster3,38.c,0.08503200000000001,0.0,0
45.c,cluster8,39.c,0.08670800000000001,0.0,0
45.c,cluster6,24.c,0.08578999999999999,0.0,0
45.c,cluster2,18.c,0.096664,0.0,0
45.c,cluster5,22.c,0.088114,0.0,0
46.c,cluster1,36.c,0.096202,0.0,0
46.c,cluster9,41.c,0.093423,0.0,0
46.c,cluster7,28.c,0.09367,0.0,0
46.c,cluster4,21.c,0.093211,0.0,0
46.c,cluster3,40.c,0.09278,0.0,0
46.c,cluster10,45.c,0.09539600000000001,0.0,0
46.c,cluster8,44.c,0.09372,0.0,0
46.c,cluster6,24.c,0.093332,0.0,0
46.c,cluster2,18.c,0.104518,0.0,0
46.c,cluster5,22.c,0.093681,0.0,0
47.c,cluster1,27.c,0.087701,0.0,0
47.c,cluster9,41.c,0.086985,0.0,0
47.c,cluster7,28.c,0.085773,0.0,0
48.c,cluster1,15.c,0.088291,0.0,0
48.c,cluster9,41.c,0.094652,0.0,0
48.c,cluster7,28.c,0.092923,0.0,0
48.c,cluster4,47.c,0.085801,0.0,0
48.c,cluster3,43.c,0.08628200000000001,0.0,0
48.c,cluster10,45.c,0.086921,0.0,0
48.c,cluster8,39.c,0.087626,0.0,0
48.c,cluster6,24.c,0.086464,0.0,0
48.c,cluster2,18.c,0.097914,0.0,0
48.c,cluster11,46.c,0.096934,0.0,0
48.c,cluster5,22.c,0.08573,0.0,0
49.c,cluster1,27.c,0.090645,10.63693,0
49.c,cluster9,41.c,0.087284,0.0,0
6.c,cluster1,31.c,0.090729,0.0,0
6.c,cluster9,41.c,0.085516,0.0,0
6.c,cluster7,49.c,0.08706900000000001,0.0,0
6.c,cluster12,48.c,0.087508,0.0,0
6.c,cluster4,47.c,0.085448,0.0,0
6.c,cluster3,42.c,0.087024,0.0,0
6.c,cluster10,45.c,0.087426,0.0,0
6.c,cluster8,44.c,0.087052,0.0,0
6.c,cluster6,24.c,0.085708,0.0,0
6.c,cluster2,18.c,0.098449,0.0,0
6.c,cluster11,46.c,0.097978,0.0,0
6.c,cluster5,22.c,0.086592,0.0,0
9.c,cluster1,27.c,0.087808,0.0,0
9.c,cluster9,41.c,0.086623,0.0,0
9.c,cluster7,28.c,0.087861,0.0,0
9.c,cluster12,48.c,0.086864,0.0,0
9.c,cluster4,21.c,0.086122,0.0,0
