solution,cluster,cluster_rep,testcases_time,klee_time,cbmc_time
10.c,cluster1,1.c,0.921386,5.4013620000000016,32.85117
11.c,cluster1,1.c,0.544714,12.654196,0.0
12.c,cluster1,10.c,0.648091,2.1688400000000003,4.330612
13.c,cluster1,1.c,0.540404,1.3967610000000001,64.13346
14.c,cluster1,13.c,0.57297,3.281733,60.042478
15.c,cluster1,1.c,0.544668,1.192568,3.665125
16.c,cluster1,12.c,0.5490619999999999,1.191685,29.327499
17.c,cluster1,14.c,0.552744,10.85694,0.0
17.c,cluster2,11.c,0.5342979999999999,3.16838,6.2252589999999985
18.c,cluster1,15.c,0.581208,0.590283,0.0
18.c,cluster2,17.c,0.701681,0.568448,0.0
19.c,cluster1,14.c,0.11570799999999999,0.0,0.0
19.c,cluster3,18.c,0.115138,0.0,0.0
19.c,cluster2,11.c,0.133056,0.0,0.0
2.c,cluster1,1.c,0.736777,1.285709,3.3954
20.c,cluster1,16.c,0.086003,0.0,0.0
20.c,cluster4,19.c,0.554384,0.33328800000000003,0.533219
21.c,cluster1,16.c,0.10723699999999999,0.0,0.0
21.c,cluster4,20.c,0.093966,0.0,0.0
21.c,cluster3,18.c,0.136097,0.0,0.0
21.c,cluster2,17.c,0.126014,0.0,0.0
22.c,cluster1,13.c,0.723946,2.588768,0.0
22.c,cluster4,19.c,0.08770599999999999,0.0,0.0
22.c,cluster3,18.c,0.572181,0.0,0.0
22.c,cluster2,17.c,0.548912,0.0,0.0
22.c,cluster5,21.c,0.08643200000000001,0.0,0.0
23.c,cluster1,13.c,0.597494,1.96215,49.338977
24.c,cluster1,2.c,0.089258,0.0,0.0
24.c,cluster4,19.c,0.088114,0.0,0.0
24.c,cluster3,18.c,0.098718,0.0,0.0
24.c,cluster6,22.c,0.090043,0.0,0.0
24.c,cluster2,11.c,0.087399,0.0,0.0
24.c,cluster5,21.c,0.086879,0.0,0.0
25.c,cluster1,1.c,0.58762,10.665927,0.0
25.c,cluster7,24.c,0.100344,0.0,0.0
25.c,cluster4,20.c,0.100155,0.0,0.0
25.c,cluster3,18.c,0.599549,2.266354,0.0
25.c,cluster6,22.c,0.576766,0.0,0.0
25.c,cluster2,17.c,0.588325,11.042199,0.0
25.c,cluster5,21.c,0.100965,0.0,0.0
26.c,cluster1,15.c,0.616276,10.761817,0.0
26.c,cluster7,24.c,0.086252,0.0,0.0
26.c,cluster4,20.c,0.087744,0.0,0.0
26.c,cluster3,18.c,0.634112,5.3258529999999995,0.0
26.c,cluster8,25.c,0.581543,10.612631,0.0
26.c,cluster6,22.c,0.563431,0.0,0.0
26.c,cluster2,11.c,0.558405,2.992461,6.271772
27.c,cluster1,16.c,0.566559,11.246367,0.0
27.c,cluster7,24.c,0.089426,0.0,0.0
27.c,cluster4,19.c,0.094565,0.0,0.0
27.c,cluster3,18.c,0.59087,4.059853,0.0
27.c,cluster8,25.c,0.575964,10.614286,0.0
27.c,cluster6,22.c,0.563599,0.0,0.0
27.c,cluster2,26.c,0.55642,7.836031,11.247126
28.c,cluster1,10.c,0.553647,2.230324,0.0
28.c,cluster7,24.c,0.08879400000000001,0.0,0.0
28.c,cluster4,19.c,0.087017,0.0,0.0
28.c,cluster3,18.c,0.58133,1.465294,0.0
28.c,cluster8,25.c,0.647356,7.041656,0.0
28.c,cluster6,22.c,0.561779,0.0,0.0
28.c,cluster2,26.c,0.557704,10.168023,0.0
28.c,cluster5,21.c,0.087197,0.0,0.0
29.c,cluster1,2.c,0.594067,0.949308,2.382857
3.c,cluster1,10.c,0.549346,1.2797459999999998,4.734639
30.c,cluster1,3.c,0.582354,13.552647,0.0
30.c,cluster9,28.c,0.5511,11.059156,0.0
30.c,cluster7,24.c,0.087014,0.0,0.0
30.c,cluster4,20.c,0.087879,0.0,0.0
30.c,cluster3,18.c,0.574979,0.812384,0.0
30.c,cluster8,25.c,0.6890149999999999,21.897496,0.0
30.c,cluster6,22.c,0.547913,0.0,0.0
30.c,cluster2,27.c,0.5575899999999999,11.124113000000001,0.0
30.c,cluster5,21.c,0.086124,0.0,0.0
31.c,cluster1,29.c,0.608888,4.426474,4.152501
31.c,cluster9,28.c,0.558087,4.372873,0.0
31.c,cluster7,24.c,0.08716900000000001,0.0,0.0
31.c,cluster4,20.c,0.089157,0.0,0.0
31.c,cluster3,18.c,0.589184,4.365277,0.0
31.c,cluster10,30.c,0.560991,55.820444,0.0
31.c,cluster8,25.c,0.576471,8.35962,3.473404
31.c,cluster6,22.c,0.558381,0.0,0.0
31.c,cluster2,17.c,0.580138,10.61219,0.0
31.c,cluster5,21.c,0.09107,0.0,0.0
32.c,cluster1,12.c,0.6277149999999999,11.252516,0.0
32.c,cluster9,28.c,0.5519069999999999,11.380261,0.0
32.c,cluster7,24.c,0.1514,0.0,0.0
32.c,cluster4,20.c,0.102168,0.0,0.0
32.c,cluster3,18.c,0.584812,10.839865,0.0
32.c,cluster10,30.c,0.568315,11.791194,0.0
32.c,cluster8,25.c,0.5777760000000001,12.162875999999999,0.0
32.c,cluster6,22.c,0.564712,0.0,0.0
32.c,cluster2,17.c,0.5694060000000001,10.914976,0.0
32.c,cluster11,31.c,0.572271,10.668004,0.0
32.c,cluster5,21.c,0.090633,0.0,0.0
33.c,cluster1,1.c,0.5905699999999999,2.005372,9.831913
34.c,cluster1,15.c,0.55979,1.219791,3.251168
35.c,cluster1,23.c,0.547773,1.190748,5.724759
36.c,cluster1,14.c,0.652403,0.9517260000000001,14.897196
37.c,cluster1,10.c,0.531457,11.237415,0.0
37.c,cluster9,28.c,0.5477890000000001,10.367671000000001,0.0
37.c,cluster7,24.c,0.085984,0.0,0.0
37.c,cluster12,32.c,0.538213,10.702031,0.0
37.c,cluster4,19.c,0.13436800000000002,0.0,0.0
37.c,cluster3,18.c,0.8623059999999999,5.64725,0.0
37.c,cluster10,30.c,0.553936,10.582945,0.0
37.c,cluster8,25.c,0.583573,10.940928999999999,0.0
37.c,cluster6,22.c,0.542295,0.0,0.0
37.c,cluster2,17.c,0.53955,7.30872,6.379096
38.c,cluster1,13.c,0.085871,0.0,0.0
38.c,cluster9,28.c,0.085009,0.0,0.0
38.c,cluster7,24.c,0.084747,0.0,0.0
38.c,cluster12,32.c,0.08365399999999999,0.0,0.0
38.c,cluster4,20.c,0.540024,0.547084,0.742057
39.c,cluster1,10.c,0.7289329999999999,1.448069,0.0
39.c,cluster9,28.c,0.549359,1.916644,0.0
39.c,cluster7,24.c,0.13539500000000002,0.0,0.0
39.c,cluster12,32.c,0.6369319999999999,11.144524,0.0
39.c,cluster4,20.c,0.084899,0.0,0.0
39.c,cluster3,18.c,0.5937680000000001,2.138714,0.0
39.c,cluster10,30.c,0.606416,9.782332,0.0
39.c,cluster8,25.c,0.5643229999999999,10.74486,0.0
39.c,cluster6,22.c,0.826577,0.0,0.0
39.c,cluster2,17.c,0.911973,11.444157,0.0
39.c,cluster11,31.c,0.5903510000000001,3.8426449999999996,0.0
39.c,cluster5,21.c,0.087076,0.0,0.0
4.c,cluster1,12.c,0.577289,10.96186,0.0
4.c,cluster9,28.c,0.575979,10.374626,0.0
4.c,cluster7,24.c,0.08638,0.0,0.0
4.c,cluster12,32.c,0.546439,10.79978,0.0
4.c,cluster4,20.c,0.091887,0.0,0.0
4.c,cluster3,18.c,0.591978,5.1795160000000005,0.0
4.c,cluster10,30.c,0.5528649999999999,11.024764999999999,0.0
4.c,cluster13,39.c,0.553667,10.573008,0.0
4.c,cluster8,25.c,0.56265,11.134723,0.0
4.c,cluster6,22.c,0.550041,0.0,0.0
4.c,cluster2,27.c,0.540408,7.7057949999999975,11.072657000000001
40.c,cluster1,33.c,0.101894,0.0,0.0
40.c,cluster9,28.c,0.08421000000000001,0.0,0.0
40.c,cluster7,24.c,0.083844,0.0,0.0
40.c,cluster12,32.c,0.084824,0.0,0.0
40.c,cluster4,19.c,0.5471159999999999,68.568989,0.0
40.c,cluster3,18.c,0.097299,0.0,0.0
40.c,cluster10,30.c,0.083703,0.0,0.0
40.c,cluster13,39.c,0.08465800000000001,0.0,0.0
40.c,cluster8,25.c,0.096409,0.0,0.0
40.c,cluster6,22.c,0.097912,0.0,0.0
40.c,cluster2,4.c,0.083828,0.0,0.0
40.c,cluster11,31.c,0.08441,0.0,0.0
