solution,cluster,cluster_rep,testcases_time,klee_time,cbmc_time
10.c,cluster1,1.c,0.771034,1.99517,33.084421
11.c,cluster1,1.c,0.586622,10.610913,12.542829
12.c,cluster1,10.c,0.5932810000000001,1.883616,4.347326
13.c,cluster1,10.c,0.577066,1.986009,36.242901
14.c,cluster1,11.c,0.552998,10.652597,14.248353
15.c,cluster1,1.c,0.557372,1.137112,3.541481
16.c,cluster1,1.c,0.548604,1.1887729999999999,29.221301
17.c,cluster1,1.c,0.551339,10.856552,12.510314
18.c,cluster1,12.c,0.588162,0.448489,0.0
19.c,cluster1,1.c,0.111248,0.0,0.0
19.c,cluster2,18.c,0.109601,0.0,0.0
2.c,cluster1,14.c,0.702467,1.759319,4.495003
20.c,cluster1,14.c,0.09006499999999999,0.0,0.0
20.c,cluster3,19.c,0.555938,0.336854,0.52275
21.c,cluster1,2.c,0.107852,0.0,0.0
21.c,cluster3,19.c,0.102031,0.0,0.0
21.c,cluster2,18.c,0.126051,0.0,0.0
22.c,cluster1,17.c,0.684431,11.411196,0.0
22.c,cluster4,21.c,0.08832999999999999,0.0,0.0
22.c,cluster3,20.c,0.091539,0.0,0.0
22.c,cluster2,18.c,0.586491,0.0,0.0
23.c,cluster1,10.c,0.608367,2.096139,5.409644
24.c,cluster1,17.c,0.089726,0.0,0.0
24.c,cluster4,21.c,0.090334,0.0,0.0
24.c,cluster3,19.c,0.089003,0.0,0.0
24.c,cluster2,18.c,0.101346,0.0,0.0
24.c,cluster5,22.c,0.087289,0.0,0.0
25.c,cluster1,13.c,0.6055010000000001,10.908589,67.958394
26.c,cluster1,16.c,0.57322,10.701999,11.969467
27.c,cluster1,11.c,0.572078,7.813474,11.207998
28.c,cluster1,11.c,0.564553,10.21749,0.0
28.c,cluster4,21.c,0.089642,0.0,0.0
28.c,cluster3,19.c,0.088638,0.0,0.0
28.c,cluster6,24.c,0.088533,0.0,0.0
28.c,cluster2,18.c,0.587122,1.5454459999999999,0.0
28.c,cluster5,22.c,0.766095,0.0,0.0
29.c,cluster1,2.c,0.682339,0.984734,2.55449
3.c,cluster1,12.c,0.551838,2.002261,30.636735
30.c,cluster1,15.c,0.5527,13.153807999999998,6.709714999999999
31.c,cluster1,16.c,0.572179,4.252872,4.594348
31.c,cluster7,28.c,0.560559,4.320335,0.0
31.c,cluster4,21.c,0.08958300000000001,0.0,0.0
31.c,cluster3,19.c,0.08772200000000001,0.0,0.0
31.c,cluster6,24.c,0.08768,0.0,0.0
31.c,cluster2,18.c,0.589555,4.306932,0.0
31.c,cluster5,22.c,0.565854,0.0,0.0
32.c,cluster1,23.c,0.60014,11.030761,42.145472
33.c,cluster1,26.c,0.55518,10.484953,14.323557
34.c,cluster1,27.c,0.552938,10.36721,20.398331
35.c,cluster1,32.c,0.56484,11.177328,44.370384
36.c,cluster1,3.c,0.5622119999999999,0.870215,14.134324
37.c,cluster1,2.c,0.574287,10.971827,8.429175
38.c,cluster1,27.c,0.090017,0.0,0.0
38.c,cluster7,28.c,0.08834199999999999,0.0,0.0
38.c,cluster4,21.c,0.08868,0.0,0.0
38.c,cluster3,20.c,0.5768300000000001,0.494045,0.711533
39.c,cluster1,37.c,0.690012,10.766009,0.0
39.c,cluster7,28.c,0.562321,1.81617,0.0
39.c,cluster4,21.c,0.102775,0.0,0.0
39.c,cluster3,19.c,0.089317,0.0,0.0
39.c,cluster8,31.c,0.624532,4.241728,0.0
39.c,cluster6,24.c,0.090601,0.0,0.0
39.c,cluster2,18.c,0.590359,1.89978,0.0
39.c,cluster5,22.c,0.570185,0.0,0.0
4.c,cluster1,25.c,0.595869,11.302894,6.42811
40.c,cluster1,12.c,0.090686,0.0,0.0
40.c,cluster9,39.c,0.089534,0.0,0.0
40.c,cluster7,28.c,0.090201,0.0,0.0
40.c,cluster4,21.c,0.08719299999999999,0.0,0.0
40.c,cluster3,19.c,0.569431,69.10874,33.533978999999995
41.c,cluster1,13.c,0.08899,0.0,0.0
41.c,cluster9,39.c,0.088799,0.0,0.0
41.c,cluster7,28.c,0.090491,0.0,0.0
41.c,cluster4,21.c,0.090246,0.0,0.0
41.c,cluster3,40.c,0.088831,0.0,0.0
41.c,cluster8,31.c,0.090589,0.0,0.0
41.c,cluster6,24.c,0.089266,0.0,0.0
41.c,cluster2,18.c,0.10037,0.0,0.0
41.c,cluster5,22.c,0.091853,0.0,0.0
42.c,cluster1,4.c,0.091395,0.0,0.0
42.c,cluster9,39.c,0.094636,0.0,0.0
42.c,cluster7,28.c,0.096312,0.0,0.0
42.c,cluster4,21.c,0.09819,0.0,0.0
42.c,cluster3,40.c,0.636929,10.820738,30.19188
43.c,cluster1,36.c,0.087198,0.0,0.0
43.c,cluster9,39.c,0.087281,0.0,0.0
43.c,cluster7,28.c,0.090669,0.0,0.0
43.c,cluster4,21.c,0.089517,0.0,0.0
43.c,cluster3,20.c,0.568345,0.509443,0.715557
44.c,cluster1,37.c,0.716125,10.791941,0.0
44.c,cluster9,39.c,0.569403,1.3438290000000002,3.8939120000000003
44.c,cluster7,28.c,0.571551,1.704851,0.0
44.c,cluster4,21.c,0.113567,0.0,0.0
44.c,cluster3,42.c,0.17764000000000002,0.0,0.0
44.c,cluster10,41.c,0.141843,0.0,0.0
44.c,cluster8,31.c,0.615267,3.647337,0.0
44.c,cluster6,24.c,0.090503,0.0,0.0
44.c,cluster2,18.c,0.5875520000000001,1.996508,0.0
44.c,cluster5,22.c,0.597683,0.0,0.0
45.c,cluster1,23.c,0.092419,0.0,0.0
45.c,cluster9,39.c,0.116704,0.0,0.0
45.c,cluster7,28.c,0.08893,0.0,0.0
45.c,cluster4,21.c,0.09148200000000001,0.0,0.0
45.c,cluster3,19.c,0.087912,0.0,0.0
45.c,cluster10,41.c,0.091615,0.0,0.0
45.c,cluster8,31.c,0.089516,0.0,0.0
45.c,cluster6,24.c,0.089369,0.0,0.0
45.c,cluster2,18.c,0.101283,0.0,0.0
45.c,cluster11,44.c,0.08655299999999999,0.0,0.0
45.c,cluster5,22.c,0.088683,0.0,0.0
46.c,cluster1,10.c,0.099604,0.0,0.0
46.c,cluster9,39.c,0.098072,0.0,0.0
46.c,cluster7,28.c,0.09596299999999999,0.0,0.0
46.c,cluster12,45.c,0.100022,0.0,0.0
46.c,cluster4,21.c,0.095898,0.0,0.0
46.c,cluster3,42.c,0.096739,0.0,0.0
46.c,cluster10,41.c,0.09693099999999999,0.0,0.0
46.c,cluster8,31.c,0.095427,0.0,0.0
46.c,cluster6,24.c,0.09689,0.0,0.0
46.c,cluster2,18.c,0.110277,0.0,0.0
46.c,cluster11,44.c,0.09652000000000001,0.0,0.0
46.c,cluster5,22.c,0.094777,0.0,0.0
47.c,cluster1,13.c,0.090439,0.0,0.0
47.c,cluster9,39.c,0.090271,0.0,0.0
47.c,cluster7,28.c,0.089923,0.0,0.0
47.c,cluster12,45.c,0.08934500000000001,0.0,0.0
47.c,cluster4,21.c,0.5870770000000001,1.594876,4.2498010000000015
48.c,cluster1,17.c,0.08892699999999999,0.0,0.0
48.c,cluster9,39.c,0.08860599999999999,0.0,0.0
48.c,cluster7,28.c,0.090856,0.0,0.0
48.c,cluster12,45.c,0.088977,0.0,0.0
48.c,cluster4,47.c,0.091033,0.0,0.0
48.c,cluster3,20.c,0.08809700000000001,0.0,0.0
48.c,cluster10,41.c,0.090575,0.0,0.0
48.c,cluster13,46.c,0.100824,0.0,0.0
48.c,cluster8,31.c,0.090148,0.0,0.0
48.c,cluster6,24.c,0.08845900000000001,0.0,0.0
48.c,cluster2,18.c,0.102402,0.0,0.0
48.c,cluster11,44.c,0.089615,0.0,0.0
48.c,cluster5,22.c,0.087275,0.0,0.0
49.c,cluster14,48.c,0.092797,0.0,0.0
