solution,cluster,cluster_rep,testcases_time,klee_time,cbmc_time
10.c,cluster1,1.c,0.000734,2.239588,10.030529
11.c,cluster1,1.c,0.0007469999999999999,11.091688000000001,0.0
11.c,cluster2,10.c,0.000367,10.874458,0.0
12.c,cluster1,1.c,0.000685,1.2257559999999998,10.028469
12.c,cluster3,11.c,0.000371,10.496111,0.0
12.c,cluster2,10.c,0.00047699999999999994,2.560188,6.231378
13.c,cluster1,1.c,0.002308,1.317231,10.021273
13.c,cluster3,11.c,0.0021850000000000003,10.699461999999999,0.0
13.c,cluster2,12.c,0.000375,1.624642,10.023013
14.c,cluster1,1.c,0.00172,3.425324,10.022086999999999
14.c,cluster4,13.c,0.006084,5.9857190000000005,10.073998
14.c,cluster3,11.c,0.000389,11.50726,0.0
14.c,cluster2,10.c,0.000453,4.190201,10.08964
15.c,cluster1,1.c,0.0017629999999999996,3.084603,7.0234309999999995
16.c,cluster1,1.c,0.002298,1.7743970000000002,10.029784
16.c,cluster4,13.c,0.0015949999999999998,3.540451,10.053018
16.c,cluster3,11.c,0.00126,10.920686,0.0
16.c,cluster2,10.c,0.000537,4.345242,10.029277
16.c,cluster5,14.c,0.00041,4.103639,9.418486
17.c,cluster1,15.c,0.000697,10.906972,0.0
17.c,cluster4,13.c,0.000586,10.522252,0.0
17.c,cluster3,11.c,0.000364,3.3371779999999998,6.987551
18.c,cluster1,15.c,0.000834,0.669292,0.0
18.c,cluster4,13.c,0.118422,0.6510050000000001,0.0
18.c,cluster3,17.c,0.173666,0.561292,0.0
18.c,cluster2,10.c,0.146756,0.51652,0.0
18.c,cluster5,14.c,0.127911,0.668454,0.0
19.c,cluster1,15.c,0.148116,1.7293990000000001,0.0
19.c,cluster4,13.c,0.118772,0.0,0.0
19.c,cluster3,11.c,0.14999200000000001,0.0,0.0
19.c,cluster6,18.c,0.162699,0.0,0.0
19.c,cluster2,10.c,0.118197,0.0,0.0
19.c,cluster5,16.c,0.098437,0.0,0.0
2.c,cluster1,15.c,0.107957,1.562818,2.768815
20.c,cluster1,15.c,0.115547,0.0,0.0
20.c,cluster7,19.c,0.10925399999999999,0.439767,0.697875
21.c,cluster1,1.c,0.15865,0.0,0.0
21.c,cluster7,20.c,0.134623,0.0,0.0
