solution,cluster,cluster_rep,testcases_time,klee_time,cbmc_time
10.c,cluster1,1.c,0.001126,1.869402,33.868829
11.c,cluster1,1.c,0.000726,10.882566,0.0
12.c,cluster1,10.c,0.000648,2.02952,5.036554
13.c,cluster1,1.c,0.000675,1.520062,63.74511700000001
14.c,cluster1,13.c,0.001026,2.604392,59.425595
15.c,cluster1,1.c,0.000898,1.16983,3.5004129999999996
16.c,cluster1,12.c,0.0007769999999999999,1.103081,29.549777
17.c,cluster1,14.c,0.000682,10.887319,0.0
17.c,cluster2,11.c,0.000393,3.159341,6.263768
18.c,cluster1,15.c,0.0007610000000000001,0.44481000000000004,0.0
18.c,cluster2,17.c,0.096915,0.4834600000000001,0.0
19.c,cluster1,14.c,0.104907,1.310147,0.0
19.c,cluster3,18.c,0.11285,0.0,0.0
19.c,cluster2,11.c,0.096214,0.0,0.0
2.c,cluster1,1.c,0.102717,1.200657,3.336926
20.c,cluster1,16.c,0.08984400000000001,0.0,0.0
20.c,cluster4,19.c,0.227356,0.323525,0.501854
21.c,cluster1,16.c,0.106118,0.0,0.0
21.c,cluster4,20.c,0.103194,0.0,0.0
21.c,cluster3,18.c,0.119949,0.0,0.0
21.c,cluster2,17.c,0.150346,0.0,0.0
22.c,cluster1,13.c,0.10756500000000001,2.638089,0.0
22.c,cluster4,19.c,0.088563,0.0,0.0
22.c,cluster3,18.c,0.100108,0.0,0.0
22.c,cluster2,17.c,0.089491,0.0,0.0
22.c,cluster5,21.c,0.088935,0.0,0.0
23.c,cluster1,13.c,0.099823,1.7884060000000002,48.631266
24.c,cluster1,2.c,0.08876,1.30667,0.0
24.c,cluster4,19.c,0.151082,0.0,0.0
24.c,cluster3,18.c,0.129369,0.0,0.0
24.c,cluster6,22.c,0.123616,0.0,0.0
24.c,cluster2,11.c,0.11049500000000001,0.0,0.0
24.c,cluster5,21.c,0.106707,0.0,0.0
25.c,cluster1,1.c,0.10370499999999999,10.384905999999999,0.0
25.c,cluster7,24.c,0.101936,0.0,0.0
25.c,cluster4,20.c,0.100922,0.0,0.0
25.c,cluster3,18.c,0.11506,1.658625,0.0
25.c,cluster6,22.c,0.134499,0.0,0.0
25.c,cluster2,17.c,0.146662,11.100495,0.0
25.c,cluster5,21.c,0.098381,0.0,0.0
26.c,cluster1,15.c,0.088806,10.753904,0.0
26.c,cluster7,24.c,0.136155,0.0,0.0
26.c,cluster4,20.c,0.092485,0.0,0.0
26.c,cluster3,18.c,0.101262,5.400652,0.0
26.c,cluster8,25.c,0.102461,10.634081,0.0
26.c,cluster6,22.c,0.088241,0.0,0.0
26.c,cluster2,11.c,0.090645,3.163577,6.26846
27.c,cluster1,16.c,0.091666,11.077719,0.0
27.c,cluster7,24.c,0.088849,0.0,0.0
27.c,cluster4,19.c,0.087922,0.0,0.0
27.c,cluster3,18.c,0.099811,4.1733970000000005,0.0
27.c,cluster8,25.c,0.101254,10.864208999999999,0.0
27.c,cluster6,22.c,0.089561,0.0,0.0
27.c,cluster2,26.c,0.09011,7.651735,11.505384
28.c,cluster1,10.c,0.093628,1.831022,0.0
28.c,cluster7,24.c,0.114272,0.0,0.0
28.c,cluster4,19.c,0.109253,0.0,0.0
28.c,cluster3,18.c,0.11863199999999999,1.9096650000000002,0.0
28.c,cluster8,25.c,0.12764,7.219384,0.0
28.c,cluster6,22.c,0.09468,0.0,0.0
28.c,cluster2,26.c,0.097884,10.225222,0.0
28.c,cluster5,21.c,0.08872000000000001,0.0,0.0
29.c,cluster1,2.c,0.090485,0.894443,2.666637
3.c,cluster1,10.c,0.090379,1.247315,4.709878
30.c,cluster1,3.c,0.091758,13.53831,0.0
30.c,cluster9,28.c,0.089546,11.025242,0.0
30.c,cluster7,24.c,0.089541,0.0,0.0
30.c,cluster4,20.c,0.087475,0.0,0.0
30.c,cluster3,18.c,0.101729,0.824469,0.0
30.c,cluster8,25.c,0.11368900000000001,21.991885,0.0
30.c,cluster6,22.c,0.088482,0.0,0.0
30.c,cluster2,27.c,0.09107,10.613479,0.0
30.c,cluster5,21.c,0.08962300000000001,0.0,0.0
31.c,cluster1,29.c,0.08966,4.707054,4.114106
31.c,cluster9,28.c,0.092794,4.163419,0.0
31.c,cluster7,24.c,0.089613,0.0,0.0
31.c,cluster4,20.c,0.087697,0.0,0.0
31.c,cluster3,18.c,0.103181,4.181794,0.0
31.c,cluster10,30.c,0.092541,55.128938,0.0
31.c,cluster8,25.c,0.10299100000000001,8.024125,3.501415
31.c,cluster6,22.c,0.12803599999999998,0.0,0.0
31.c,cluster2,17.c,0.09159199999999999,10.796512,0.0
31.c,cluster5,21.c,0.091815,0.0,0.0
32.c,cluster1,12.c,0.09227300000000001,11.280609,0.0
32.c,cluster9,28.c,0.109695,10.901406,0.0
32.c,cluster7,24.c,0.090891,0.0,0.0
32.c,cluster4,20.c,0.109142,0.0,0.0
32.c,cluster3,18.c,0.106347,10.722334,0.0
32.c,cluster10,30.c,0.091817,11.841925,0.0
32.c,cluster8,25.c,0.105074,12.008721000000001,0.0
32.c,cluster6,22.c,0.08948400000000001,0.0,0.0
32.c,cluster2,17.c,0.09529800000000001,11.07708,0.0
32.c,cluster11,31.c,0.092297,10.719799,0.0
32.c,cluster5,21.c,0.097232,0.0,0.0
33.c,cluster1,1.c,0.090969,2.095072,9.863322
34.c,cluster1,15.c,0.092433,1.26821,3.472004
35.c,cluster1,23.c,0.096753,1.121806,5.63456
36.c,cluster1,14.c,0.092112,0.853909,13.9291
37.c,cluster1,10.c,0.093417,10.852028,0.0
37.c,cluster9,28.c,0.090259,10.545913,0.0
37.c,cluster7,24.c,0.087542,0.0,0.0
37.c,cluster12,32.c,0.091201,10.795213,0.0
37.c,cluster4,19.c,0.090975,0.0,0.0
37.c,cluster3,18.c,0.170221,5.130268,0.0
37.c,cluster10,30.c,0.090752,11.375367,0.0
37.c,cluster8,25.c,0.10601700000000001,10.819098,0.0
37.c,cluster6,22.c,0.090973,0.0,0.0
37.c,cluster2,17.c,0.091727,6.1471089999999995,6.6210130000000005
38.c,cluster1,13.c,0.089464,0.0,0.0
38.c,cluster9,28.c,0.089534,0.0,0.0
38.c,cluster7,24.c,0.087897,0.0,0.0
38.c,cluster12,32.c,0.088146,0.0,0.0
38.c,cluster4,20.c,0.093035,0.494935,0.715541
39.c,cluster1,10.c,0.105305,1.898596,0.0
39.c,cluster9,28.c,0.113378,1.956139,0.0
39.c,cluster7,24.c,0.106947,0.0,0.0
39.c,cluster12,32.c,0.092651,11.27256,0.0
39.c,cluster4,20.c,0.087237,0.0,0.0
39.c,cluster3,18.c,0.104819,1.906756,0.0
39.c,cluster10,30.c,0.09261,9.730993,0.0
39.c,cluster8,25.c,0.104952,9.495736,0.0
39.c,cluster6,22.c,0.091185,0.0,0.0
39.c,cluster2,17.c,0.092553,10.369526,0.0
39.c,cluster11,31.c,0.091552,4.126432,0.0
39.c,cluster5,21.c,0.093357,0.0,0.0
4.c,cluster1,12.c,0.094903,10.992744,0.0
4.c,cluster9,28.c,0.091739,10.691215,0.0
4.c,cluster7,24.c,0.089392,0.0,0.0
4.c,cluster12,32.c,0.092508,10.912835,0.0
4.c,cluster4,20.c,0.08870700000000001,0.0,0.0
4.c,cluster3,18.c,0.105879,5.380282,0.0
4.c,cluster10,30.c,0.092289,11.105898,0.0
4.c,cluster13,39.c,0.09289,10.485495,0.0
4.c,cluster8,25.c,0.102322,11.377788,0.0
4.c,cluster6,22.c,0.088273,0.0,0.0
4.c,cluster2,27.c,0.093236,8.072386,11.380069
40.c,cluster1,33.c,0.090891,0.0,0.0
40.c,cluster9,28.c,0.089503,0.0,0.0
40.c,cluster7,24.c,0.08881,0.0,0.0
40.c,cluster12,32.c,0.088818,0.0,0.0
40.c,cluster4,19.c,0.1009,70.622343,0.0
40.c,cluster3,18.c,0.101403,0.0,0.0
40.c,cluster10,30.c,0.147447,0.0,0.0
40.c,cluster13,39.c,0.090827,0.0,0.0
40.c,cluster8,25.c,0.102249,0.0,0.0
40.c,cluster6,22.c,0.08884500000000001,0.0,0.0
40.c,cluster2,4.c,0.089058,0.0,0.0
40.c,cluster11,31.c,0.096617,0.0,0.0
40.c,cluster5,21.c,0.087925,0.0,0.0
41.c,cluster14,40.c,0.089805,0.0,0.0
41.c,cluster1,13.c,0.113351,0.0,0.0
41.c,cluster9,28.c,0.090029,0.0,0.0
41.c,cluster7,24.c,0.08946799999999999,0.0,0.0
41.c,cluster12,32.c,0.089851,0.0,0.0
41.c,cluster4,19.c,0.089214,0.0,0.0
41.c,cluster3,18.c,0.10153200000000001,0.0,0.0
41.c,cluster10,30.c,0.088764,0.0,0.0
41.c,cluster13,39.c,0.08969400000000001,0.0,0.0
41.c,cluster8,25.c,0.100459,0.0,0.0
41.c,cluster6,22.c,0.088798,0.0,0.0
41.c,cluster2,4.c,0.089337,0.0,0.0
41.c,cluster11,31.c,0.088724,0.0,0.0
41.c,cluster5,21.c,0.089185,0.0,0.0
42.c,cluster14,40.c,0.09440599999999999,11.13073,0.0
42.c,cluster1,36.c,0.089624,0.0,0.0
42.c,cluster9,28.c,0.087357,0.0,0.0
42.c,cluster7,24.c,0.089541,0.0,0.0
42.c,cluster12,32.c,0.089422,0.0,0.0
42.c,cluster15,41.c,0.08996699999999999,0.0,0.0
42.c,cluster4,38.c,0.093456,0.375866,0.568287
43.c,cluster14,40.c,0.104767,69.993739,0.0
43.c,cluster1,29.c,0.091657,0.0,0.0
43.c,cluster9,28.c,0.091718,0.0,0.0
43.c,cluster7,24.c,0.092895,0.0,0.0
43.c,cluster12,32.c,0.090888,0.0,0.0
43.c,cluster15,41.c,0.090465,0.0,0.0
43.c,cluster4,19.c,0.092555,0.480051,0.8004319999999999
44.c,cluster14,40.c,0.11378800000000001,0.0,0.0
44.c,cluster1,14.c,0.093967,1.350056,0.0
44.c,cluster9,28.c,0.114775,1.852915,0.0
44.c,cluster7,24.c,0.139124,0.0,0.0
44.c,cluster12,32.c,0.173986,11.380258999999999,0.0
44.c,cluster15,41.c,0.087951,0.0,0.0
44.c,cluster4,42.c,0.091254,0.0,0.0
44.c,cluster3,18.c,0.108352,1.98749,0.0
44.c,cluster10,30.c,0.101863,9.087249,0.0
44.c,cluster13,39.c,0.091714,1.370021,3.911592
44.c,cluster8,25.c,0.10609500000000001,10.940677,0.0
44.c,cluster6,22.c,0.091219,0.0,0.0
44.c,cluster2,11.c,0.092691,10.298182,0.0
44.c,cluster11,31.c,0.09047,4.080719,0.0
44.c,cluster5,21.c,0.08881900000000001,0.0,0.0
45.c,cluster14,40.c,0.097201,0.0,0.0
45.c,cluster1,2.c,0.09252200000000001,0.0,0.0
45.c,cluster9,28.c,0.089434,0.0,0.0
45.c,cluster7,24.c,0.08755399999999999,0.0,0.0
45.c,cluster12,32.c,0.089831,0.0,0.0
45.c,cluster15,41.c,0.088733,0.0,0.0
45.c,cluster4,19.c,0.088203,0.0,0.0
45.c,cluster16,44.c,0.089229,0.0,0.0
45.c,cluster3,18.c,0.099206,0.0,0.0
45.c,cluster10,30.c,0.088603,0.0,0.0
45.c,cluster13,39.c,0.091023,0.0,0.0
45.c,cluster8,25.c,0.100275,0.0,0.0
45.c,cluster6,22.c,0.08993999999999999,0.0,0.0
45.c,cluster2,11.c,0.088395,0.0,0.0
45.c,cluster11,31.c,0.090193,0.0,0.0
45.c,cluster5,21.c,0.091293,0.0,0.0
46.c,cluster14,40.c,0.098366,0.0,0.0
46.c,cluster1,1.c,0.098117,0.0,0.0
46.c,cluster9,28.c,0.096478,0.0,0.0
46.c,cluster7,24.c,0.097929,0.0,0.0
46.c,cluster17,45.c,0.096129,0.0,0.0
46.c,cluster12,32.c,0.098264,0.0,0.0
46.c,cluster15,41.c,0.104614,0.0,0.0
46.c,cluster4,42.c,0.095098,0.0,0.0
46.c,cluster16,44.c,0.09721,0.0,0.0
46.c,cluster3,18.c,0.107499,0.0,0.0
46.c,cluster10,30.c,0.098258,0.0,0.0
46.c,cluster13,39.c,0.095067,0.0,0.0
46.c,cluster8,25.c,0.108545,0.0,0.0
46.c,cluster6,22.c,0.097358,0.0,0.0
46.c,cluster2,37.c,0.098104,0.0,0.0
46.c,cluster11,31.c,0.098096,0.0,0.0
46.c,cluster5,21.c,0.096663,0.0,0.0
47.c,cluster14,40.c,0.09374099999999999,0.0,0.0
47.c,cluster1,12.c,0.092583,0.0,0.0
47.c,cluster9,28.c,0.089862,0.0,0.0
47.c,cluster7,24.c,0.087255,0.0,0.0
47.c,cluster17,45.c,0.089159,0.0,0.0
47.c,cluster12,32.c,0.08959500000000001,0.0,0.0
47.c,cluster15,41.c,0.09173200000000001,0.0,0.0
47.c,cluster4,43.c,0.089173,0.0,0.0
47.c,cluster16,44.c,0.09099199999999999,0.0,0.0
47.c,cluster3,18.c,0.100371,0.0,0.0
47.c,cluster10,30.c,0.08681599999999999,0.0,0.0
47.c,cluster13,39.c,0.089492,0.0,0.0
47.c,cluster8,25.c,0.102721,0.0,0.0
47.c,cluster6,22.c,0.087578,0.0,0.0
47.c,cluster2,11.c,0.09196599999999999,0.0,0.0
47.c,cluster18,46.c,0.101638,0.0,0.0
47.c,cluster11,31.c,0.08863,0.0,0.0
47.c,cluster5,21.c,0.092939,1.496355,4.572652
48.c,cluster14,40.c,0.09073300000000001,0.0,0.0
48.c,cluster1,15.c,0.089036,0.0,0.0
48.c,cluster9,28.c,0.088759,0.0,0.0
48.c,cluster7,24.c,0.091129,0.0,0.0
48.c,cluster17,45.c,0.08931900000000001,0.0,0.0
48.c,cluster12,32.c,0.09155,0.0,0.0
48.c,cluster15,41.c,0.089088,0.0,0.0
48.c,cluster4,19.c,0.08823500000000001,0.0,0.0
48.c,cluster16,44.c,0.090505,0.0,0.0
48.c,cluster3,18.c,0.101622,0.0,0.0
48.c,cluster10,30.c,0.087931,0.0,0.0
48.c,cluster13,39.c,0.08836000000000001,0.0,0.0
48.c,cluster8,25.c,0.101648,0.0,0.0
48.c,cluster6,22.c,0.089647,0.0,0.0
48.c,cluster2,27.c,0.089488,0.0,0.0
48.c,cluster18,46.c,0.09915,0.0,0.0
48.c,cluster11,31.c,0.089525,0.0,0.0
48.c,cluster5,21.c,0.092004,0.0,0.0
49.c,cluster14,40.c,0.090403,0.0,0.0
49.c,cluster1,34.c,0.095733,2.051951,0.0
49.c,cluster9,28.c,0.093611,1.824471,4.403308999999999
49.c,cluster7,24.c,0.088969,0.0,0.0
49.c,cluster17,45.c,0.08883200000000001,0.0,0.0
49.c,cluster12,32.c,0.092738,11.382108,0.0
49.c,cluster15,41.c,0.087611,0.0,0.0
49.c,cluster4,38.c,0.091423,0.0,0.0
49.c,cluster16,44.c,0.09222799999999999,1.409797,0.0
49.c,cluster3,18.c,0.234956,2.160194,0.0
49.c,cluster10,30.c,0.096029,12.476275999999999,0.0
49.c,cluster13,39.c,0.092282,1.318077,0.0
49.c,cluster19,48.c,0.097458,0.0,0.0
49.c,cluster8,25.c,0.124922,11.580579,0.0
49.c,cluster6,22.c,0.08822100000000001,0.0,0.0
49.c,cluster2,37.c,0.095916,10.989426,0.0
49.c,cluster18,46.c,0.101228,0.0,0.0
49.c,cluster11,31.c,0.09166,3.284645,0.0
49.c,cluster5,21.c,0.091815,0.0,0.0
5.c,cluster14,40.c,0.089383,0.0,0.0
5.c,cluster1,1.c,0.095761,1.812591,31.653295
50.c,cluster14,40.c,0.089062,0.0,0.0
50.c,cluster1,5.c,0.094224,12.997158,0.0
50.c,cluster20,49.c,0.091172,12.707669,0.0
50.c,cluster9,28.c,0.092017,11.167466000000001,0.0
50.c,cluster7,24.c,0.16238699999999998,0.0,0.0
50.c,cluster17,45.c,0.088607,0.0,0.0
50.c,cluster12,32.c,0.093185,11.50142,0.0
50.c,cluster15,41.c,0.08984199999999999,0.0,0.0
50.c,cluster4,42.c,0.089448,0.0,0.0
50.c,cluster16,44.c,0.094581,12.452732000000001,0.0
50.c,cluster3,18.c,0.101898,1.84869,0.0
50.c,cluster10,30.c,0.12651700000000002,0.251189,0.322252
6.c,cluster14,40.c,0.106178,0.0,0.0
6.c,cluster1,16.c,0.10870899999999999,0.0,0.0
6.c,cluster20,49.c,0.0969,0.0,0.0
6.c,cluster9,28.c,0.102433,0.0,0.0
6.c,cluster7,24.c,0.111163,0.0,0.0
6.c,cluster17,45.c,0.111374,0.0,0.0
6.c,cluster12,32.c,0.107313,0.0,0.0
6.c,cluster15,41.c,0.11233,0.0,0.0
6.c,cluster4,38.c,0.088125,0.0,0.0
6.c,cluster16,44.c,0.099455,0.0,0.0
6.c,cluster3,18.c,0.124778,0.0,0.0
6.c,cluster10,30.c,0.10001,0.0,0.0
6.c,cluster13,39.c,0.089431,0.0,0.0
6.c,cluster19,48.c,0.089661,0.0,0.0
6.c,cluster8,25.c,0.104479,0.0,0.0
6.c,cluster6,22.c,0.088838,0.0,0.0
6.c,cluster2,26.c,0.089581,0.0,0.0
6.c,cluster18,46.c,0.102906,0.0,0.0
