solution,cluster,cluster_rep,testcases_time,klee_time,cbmc_time
10.c,cluster1,1.c,0.039929,7.5011160000000014,10.082756
11.c,cluster1,1.c,0.000798,11.195008999999999,10.020972
11.c,cluster2,10.c,0.000445,11.266448,10.018386
12.c,cluster1,1.c,0.0018219999999999998,1.2934709999999998,10.037868
12.c,cluster3,11.c,0.000416,11.016789,10.031507
12.c,cluster2,10.c,0.000377,2.580405,5.138381
13.c,cluster1,1.c,0.0008320000000000001,1.917375,10.03163
13.c,cluster3,11.c,0.000367,11.015025,10.024253999999999
13.c,cluster2,12.c,0.001102,2.351019,10.055929
14.c,cluster1,1.c,0.001668,5.684071,10.051209
14.c,cluster4,13.c,0.000563,7.107246000000001,10.091921
14.c,cluster3,11.c,0.00041799999999999997,11.763996,10.049244999999999
14.c,cluster2,10.c,0.000409,5.0052330000000005,10.067479
15.c,cluster1,1.c,0.0015890000000000001,5.776415,7.317854
16.c,cluster1,1.c,0.001692,2.264215,10.076901
16.c,cluster4,13.c,0.000386,4.889318,10.089441
16.c,cluster3,11.c,0.000391,11.718223,10.084024
16.c,cluster2,10.c,0.000394,6.6080229999999975,10.083086
16.c,cluster5,14.c,0.002621,3.03267,7.414578999999999
17.c,cluster1,15.c,0.000713,10.838003,9.39967
18.c,cluster1,1.c,0.024577,1.437661,0.0
18.c,cluster4,13.c,0.249369,0.543004,0.0
18.c,cluster3,11.c,0.179146,0.4698850000000001,0.0
18.c,cluster2,12.c,0.14990699999999998,0.500772,0.0
18.c,cluster5,16.c,0.113385,0.482665,0.0
19.c,cluster1,1.c,0.150948,1.724223,0.0
19.c,cluster4,13.c,0.195297,0.0,0.0
19.c,cluster3,11.c,0.253625,0.0,0.0
19.c,cluster6,18.c,0.235268,0.0,0.0
19.c,cluster2,10.c,0.337584,0.0,0.0
19.c,cluster5,16.c,0.097027,0.0,0.0
2.c,cluster1,1.c,0.106395,1.35545,3.8301769999999995
20.c,cluster1,15.c,0.13034400000000002,0.0,0.0
20.c,cluster7,19.c,0.150251,0.378809,0.645179
21.c,cluster1,15.c,0.142173,0.0,0.0
21.c,cluster7,19.c,0.127478,0.0,0.0
21.c,cluster4,13.c,0.14272200000000002,0.0,0.0
21.c,cluster3,11.c,0.131158,0.0,0.0
21.c,cluster6,18.c,0.139878,0.0,0.0
21.c,cluster2,10.c,0.106493,0.0,0.0
21.c,cluster5,16.c,0.115489,0.0,0.0
22.c,cluster1,15.c,0.242218,1.9471209999999999,0.0
22.c,cluster7,19.c,0.101263,0.0,0.0
22.c,cluster4,13.c,0.095289,0.0,0.0
22.c,cluster3,11.c,0.099606,0.0,0.0
22.c,cluster8,21.c,0.100228,0.0,0.0
22.c,cluster6,18.c,0.123063,0.0,0.0
22.c,cluster2,10.c,0.100176,0.0,0.0
22.c,cluster5,14.c,0.095352,0.0,0.0
23.c,cluster1,1.c,0.14755,1.18705,4.45034
24.c,cluster1,15.c,0.096836,1.442852,0.0
24.c,cluster9,22.c,0.150199,0.0,0.0
24.c,cluster7,20.c,0.144112,0.0,0.0
24.c,cluster4,13.c,0.157694,0.0,0.0
24.c,cluster3,11.c,0.10302,0.0,0.0
24.c,cluster8,21.c,0.09804,0.0,0.0
24.c,cluster6,18.c,0.107056,0.0,0.0
24.c,cluster2,10.c,0.10358699999999996,0.0,0.0
24.c,cluster5,16.c,0.098152,0.0,0.0
25.c,cluster1,1.c,0.12020299999999999,11.226780999999999,8.064160000000001
26.c,cluster1,17.c,0.08671799999999999,2.934046,6.165905
27.c,cluster1,17.c,0.085757,7.655839,10.017422999999999
27.c,cluster9,22.c,0.10127,0.0,0.0
27.c,cluster7,19.c,0.12081900000000001,0.0,0.0
27.c,cluster4,13.c,0.0955,10.931792,10.019594
27.c,cluster3,11.c,0.099576,8.466599,10.018267
27.c,cluster10,24.c,0.13643,0.0,0.0
27.c,cluster8,21.c,0.128637,0.0,0.0
27.c,cluster6,18.c,0.150896,5.235684,0.0
27.c,cluster2,12.c,0.099891,11.456617999999999,10.019605
27.c,cluster5,14.c,0.128458,10.789739,10.024637
28.c,cluster1,26.c,0.134794,11.117871000000001,0.0
28.c,cluster9,22.c,0.102257,0.0,0.0
28.c,cluster7,20.c,0.09454800000000001,0.0,0.0
28.c,cluster4,13.c,0.098975,2.535757,0.0
28.c,cluster3,11.c,0.12679200000000002,10.823642999999999,0.0
28.c,cluster10,24.c,0.10473699999999997,0.0,0.0
28.c,cluster8,21.c,0.100404,0.0,0.0
28.c,cluster6,18.c,0.114916,2.40561,0.0
28.c,cluster2,10.c,0.109702,2.4626650000000003,0.0
28.c,cluster11,27.c,0.101469,10.726476,0.0
28.c,cluster5,16.c,0.097711,1.6776349999999998,0.0
29.c,cluster1,17.c,0.208588,10.282307,10.02007
29.c,cluster9,22.c,0.122807,0.0,0.0
29.c,cluster7,19.c,0.12351199999999996,0.0,0.0
29.c,cluster12,28.c,0.12399400000000001,1.8771509999999998,0.0
29.c,cluster4,13.c,0.17864000000000002,2.862018,10.024918
29.c,cluster3,11.c,0.104478,11.330233,10.025874
29.c,cluster10,24.c,0.130678,0.0,0.0
29.c,cluster8,21.c,0.124828,0.0,0.0
29.c,cluster6,18.c,0.151007,2.409017,0.0
29.c,cluster2,12.c,0.163154,1.640121,4.290422
3.c,cluster1,26.c,0.104167,11.185301,10.018704
3.c,cluster9,22.c,0.1195,0.0,0.0
3.c,cluster7,20.c,0.098229,0.0,0.0
3.c,cluster12,28.c,0.102214,2.131869,0.0
3.c,cluster4,13.c,0.182661,3.655964,10.020034
3.c,cluster3,11.c,0.106109,10.941454,10.020155
3.c,cluster10,24.c,0.131088,0.0,0.0
3.c,cluster8,21.c,0.125051,0.0,0.0
3.c,cluster6,18.c,0.161795,3.068388,0.0
3.c,cluster2,12.c,0.130719,2.793756,10.0211
3.c,cluster11,27.c,0.129775,10.930648,10.030528
3.c,cluster5,16.c,0.154355,3.4075629999999997,10.021627
30.c,cluster1,23.c,0.114736,14.938883,9.755178
31.c,cluster1,25.c,0.099147,8.047006,3.4819760000000004
31.c,cluster9,22.c,0.08555800000000001,0.0,0.0
31.c,cluster7,19.c,0.089611,0.0,0.0
31.c,cluster12,28.c,0.087172,4.270834,0.0
31.c,cluster4,13.c,0.08770499999999999,4.684174,10.020169000000001
31.c,cluster3,11.c,0.10672,10.588288,5.8067470000000005
31.c,cluster10,24.c,0.088295,0.0,0.0
31.c,cluster13,3.c,0.088286,4.424159,3.250012
31.c,cluster8,21.c,0.084885,0.0,0.0
31.c,cluster6,18.c,0.118744,4.055957,0.0
31.c,cluster2,10.c,0.084936,4.236409,4.057385
31.c,cluster11,27.c,0.087895,10.669092,9.448192
31.c,cluster5,16.c,0.084413,4.388008,4.4844050000000015
32.c,cluster14,31.c,0.128772,10.669795,4.216034
32.c,cluster1,26.c,0.101312,10.935630999999999,10.019697
32.c,cluster9,22.c,0.104059,0.0,0.0
32.c,cluster7,19.c,0.100298,0.0,0.0
32.c,cluster12,28.c,0.099431,10.82284,0.0
32.c,cluster4,13.c,0.11289600000000001,10.860414,10.019556
32.c,cluster3,11.c,0.134985,10.784897,10.018502
32.c,cluster10,24.c,0.177069,0.0,0.0
32.c,cluster13,3.c,0.179396,11.15164,10.043567
32.c,cluster8,21.c,0.278952,0.0,0.0
32.c,cluster6,18.c,0.239914,11.555284,0.0
32.c,cluster2,29.c,0.16712,11.003363,10.040471
32.c,cluster11,27.c,0.515738,11.050894,10.093784
32.c,cluster5,16.c,1.111512,12.397834,10.086869
33.c,cluster14,31.c,0.293054,11.599732,10.075868
33.c,cluster1,1.c,0.42973199999999995,5.326199,10.070910000000001
33.c,cluster9,22.c,0.420292,0.0,0.0
33.c,cluster7,19.c,0.45515900000000004,0.0,0.0
33.c,cluster12,28.c,0.462362,5.916399,0.0
33.c,cluster15,32.c,0.473763,11.17351,10.025985
33.c,cluster4,13.c,0.452026,6.634158,10.115486
33.c,cluster3,11.c,0.413077,12.207374,10.084779
33.c,cluster10,24.c,0.48513,0.0,0.0
33.c,cluster13,3.c,0.43857399999999996,3.8547480000000003,10.065512
33.c,cluster8,21.c,0.432118,0.0,0.0
33.c,cluster6,18.c,0.5091939999999999,6.1750989999999994,0.0
33.c,cluster2,12.c,0.5058050000000001,5.845438,10.081566
33.c,cluster11,27.c,0.446758,11.419352,10.022203
33.c,cluster5,14.c,0.209095,1.865693,10.035229
34.c,cluster14,31.c,0.132775,4.656866,5.990337
34.c,cluster1,23.c,0.13486099999999998,1.038308,10.017688
34.c,cluster9,22.c,0.100189,0.0,0.0
34.c,cluster7,20.c,0.134863,0.0,0.0
34.c,cluster12,28.c,0.099155,1.133246,0.0
34.c,cluster15,32.c,0.090445,11.943643,10.012039
34.c,cluster4,13.c,0.100361,2.211312,10.017859
34.c,cluster16,33.c,0.13031900000000002,2.869179,10.033622
34.c,cluster3,11.c,0.1456,11.30368,10.025524
34.c,cluster10,24.c,0.130426,0.0,0.0
34.c,cluster13,3.c,0.143736,2.5357689999999997,7.077396
35.c,cluster14,31.c,0.109957,3.343947,4.851587
35.c,cluster1,30.c,0.13817100000000002,14.629151,10.021542
35.c,cluster9,22.c,0.130144,0.0,0.0
35.c,cluster7,19.c,0.127144,0.0,0.0
35.c,cluster12,28.c,0.131638,1.61959,0.0
35.c,cluster15,32.c,0.23663299999999998,11.473676,10.016345
35.c,cluster4,13.c,0.144244,2.00547,10.056355
