solution,cluster,cluster_rep,testcases_time,klee_time,cbmc_time
10.c,cluster1,1.c,0.0019089999999999999,2.0122430000000002,30.888626000000002
11.c,cluster1,1.c,0.000834,10.892066,12.598603
12.c,cluster1,10.c,0.0008029999999999999,1.9041560000000002,4.388980999999999
13.c,cluster1,10.c,0.000653,1.725014,36.000769
14.c,cluster1,11.c,0.0006450000000000001,10.60332,14.285988
15.c,cluster1,1.c,0.000752,1.130819,3.489457
16.c,cluster1,1.c,0.001158,1.143407,29.680825
17.c,cluster1,1.c,0.000653,10.850466,12.384638
18.c,cluster1,12.c,0.000696,0.462344,0.0
19.c,cluster1,1.c,0.101333,1.372043,0.0
19.c,cluster2,18.c,0.11525099999999999,0.0,0.0
2.c,cluster1,14.c,0.115043,1.630751,4.415152
20.c,cluster1,14.c,0.086923,0.0,0.0
20.c,cluster3,19.c,0.087806,0.330428,0.515033
21.c,cluster1,2.c,0.107616,0.0,0.0
21.c,cluster3,19.c,0.091496,0.0,0.0
21.c,cluster2,18.c,0.12276600000000001,0.0,0.0
22.c,cluster1,17.c,0.102196,11.24523,0.0
22.c,cluster4,21.c,0.088574,0.0,0.0
22.c,cluster3,20.c,0.087873,0.0,0.0
22.c,cluster2,18.c,0.099311,0.0,0.0
23.c,cluster1,10.c,0.094915,2.004474,5.39493
24.c,cluster1,17.c,0.087675,4.076987,0.0
24.c,cluster4,21.c,0.139663,0.0,0.0
24.c,cluster3,19.c,0.088228,0.0,0.0
24.c,cluster2,18.c,0.100298,0.0,0.0
24.c,cluster5,22.c,0.086905,0.0,0.0
25.c,cluster1,13.c,0.104381,10.98071,66.553291
26.c,cluster1,16.c,0.118176,10.703998,12.311466000000001
27.c,cluster1,11.c,0.093826,7.888729,11.597904
28.c,cluster1,11.c,0.092292,10.287267,0.0
28.c,cluster4,21.c,0.086628,0.0,0.0
28.c,cluster3,19.c,0.087108,0.0,0.0
28.c,cluster6,24.c,0.101467,0.0,0.0
28.c,cluster2,18.c,0.10315099999999999,1.479265,0.0
28.c,cluster5,22.c,0.106905,0.0,0.0
29.c,cluster1,2.c,0.09269,0.9553950000000001,2.4099720000000002
3.c,cluster1,12.c,0.090644,1.7521639999999998,31.034739
30.c,cluster1,15.c,0.088397,13.330389000000002,6.728231
31.c,cluster1,16.c,0.094523,4.423339,4.563632
31.c,cluster7,28.c,0.09006499999999999,4.133782,0.0
31.c,cluster4,21.c,0.087508,0.0,0.0
31.c,cluster3,19.c,0.08627,0.0,0.0
31.c,cluster6,24.c,0.089415,0.0,0.0
31.c,cluster2,18.c,0.102373,4.541957,0.0
31.c,cluster5,22.c,0.088906,0.0,0.0
32.c,cluster1,23.c,0.096725,10.845853,41.963165000000004
33.c,cluster1,26.c,0.08820700000000001,10.38442,14.359246
